iso_year,iso_week,censuscode,district,state,lat,lon,cases,deaths,is_outbreak,cases_lag1,cases_lag2,cases_lag3,cases_roll4w,temp_k,preci_mm,LAI,population_2024,pop_density_per_km2_2024,week_sin,week_cos,is_monsoon
2018,33,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,339,0.0,0,680.0,416.0,339.0,449.75,296.045,1.259084377,24.0,6319516,5391.8,-0.748511,-0.663123,1
2013,43,31,Solan,Himachal Pradesh,30.92589585,77.08200509,30,0.0,0,,,,,296.3666666,0.004539964919,,1044512,531.57,-0.885456,0.464723,0
2015,37,31,Solan,Himachal Pradesh,30.92589585,77.08200509,151,2.0,1,30.0,,,30.0,297.87,0.03760034753,36.0,1044512,531.57,-0.970942,-0.239316,1
2017,34,31,Solan,Himachal Pradesh,30.92589585,77.08200509,10,0.0,0,151.0,30.0,,90.5,295.90000000000003,0.5833126291,34.0,1044512,531.57,-0.822984,-0.568065,1
2018,29,31,Solan,Himachal Pradesh,30.92589585,77.08200509,47,0.0,0,10.0,151.0,30.0,63.67,292.1533334,0.7953601911,16.0,1044512,531.57,-0.354605,-0.935016,1
2022,23,31,Solan,Himachal Pradesh,30.92589585,77.08200509,34,0.0,0,47.0,10.0,151.0,59.5,305.7866666,7.63e-05,,1044512,531.57,0.354605,-0.935016,1
2011,21,44,Muktsar,Punjab,30.4692,74.5182,26,0.0,0,,,,,315.1,0.1699077818,2.0,206833,78.72,0.568065,-0.822984,0
2009,44,55,Chandigarh,Chandigarh,30.72984395,76.78414567,8,0.0,0,,,,,302.0466666,4.88e-05,9.0,4015880,33832.18,-0.822984,0.568065,0
2010,35,55,Chandigarh,Chandigarh,30.72984395,76.78414567,103,0.0,0,8.0,,,8.0,301.505,0.6042564227,18.0,4015880,33832.18,-0.885456,-0.464723,1
2010,40,55,Chandigarh,Chandigarh,30.72984395,76.78414567,25,0.0,0,103.0,8.0,,55.5,302.6666666,0.005205862058,18.0,4015880,33832.18,-0.992709,0.120537,0
2012,36,55,Chandigarh,Chandigarh,30.72984395,76.78414567,2466,0.0,1,25.0,103.0,8.0,45.33,300.2266666,0.3768368195,20.0,4015880,33832.18,-0.935016,-0.354605,1
2015,35,55,Chandigarh,Chandigarh,30.72984395,76.78414567,210,0.0,0,2466.0,25.0,103.0,650.5,298.82,0.6191849911,22.0,4015880,33832.18,-0.885456,-0.464723,1
2015,36,55,Chandigarh,Chandigarh,30.72984395,76.78414567,1824,0.0,0,210.0,2466.0,25.0,701.0,301.68333340000004,0.0608389463,25.0,4015880,33832.18,-0.935016,-0.354605,1
2016,35,55,Chandigarh,Chandigarh,30.72984395,76.78414567,17,0.0,0,1824.0,210.0,2466.0,1131.25,301.485,0.2352487723,26.0,4015880,33832.18,-0.885456,-0.464723,1
2017,32,55,Chandigarh,Chandigarh,30.72984395,76.78414567,1015,0.0,0,17.0,1824.0,210.0,1129.25,,1.805582248,14.0,4015880,33832.18,-0.663123,-0.748511,1
2018,35,55,Chandigarh,Chandigarh,30.72984395,76.78414567,18,0.0,0,1015.0,17.0,1824.0,766.5,300.96,0.3238669042,14.0,4015880,33832.18,-0.885456,-0.464723,1
2020,46,55,Chandigarh,Chandigarh,30.72984395,76.78414567,11,0.0,0,18.0,1015.0,17.0,718.5,299.09000000000003,0.0003842740343,,4015880,33832.18,-0.663123,0.748511,0
2020,50,55,Chandigarh,Chandigarh,30.72984395,76.78414567,13,0.0,0,11.0,18.0,1015.0,265.25,294.7233334,7.18e-05,7.0,4015880,33832.18,-0.239316,0.970942,0
2019,44,57,Chamoli,Uttar Pradesh,29.5008816,77.34838259,5,0.0,0,,,,,298.23,0.002175384014,14.0,802518,102.43,-0.822984,0.568065,0
2019,34,58,Rudraprayag,Uttarakhand,30.3009965,79.06287965,20,0.0,0,,,,,280.18,2.366893812,,1762527,959.14,-0.822984,-0.568065,1
2018,36,59,Tehri Garhwal,Uttarakhand,30.40260205,78.38835789,21,1.0,1,,,,,287.5066666,1.449797307,,1639425,423.36,-0.935016,-0.354605,1
2019,42,59,Tehri Garhwal,Uttarakhand,29.84591115,78.70766746,8,0.0,0,21.0,,,21.0,295.2,0.1611135297,34.0,1639425,423.36,-0.935016,0.354605,0
2010,37,60,Dehradun,Uttarakhand,30.3255646,78.0436813,19,0.0,0,,,,,283.42400000000004,2.604377781,,1679609,546.26,-0.970942,-0.239316,1
2016,29,60,Dehradun,Uttarakhand,30.3255646,78.0436813,41,0.0,1,19.0,,,19.0,292.36,3.39884712,,1679609,546.26,-0.354605,-0.935016,1
2010,34,66,Nainital,Uttarakhand,29.29478295,79.41548094,3,0.0,0,,,,,287.34000000000003,1.53304402,,2060872,497.85,-0.822984,-0.568065,1
2010,37,66,Nainital,Uttarakhand,29.29478295,79.41548094,643,0.0,1,3.0,,,3.0,298.5133334,0.8191441814,,2060872,497.85,-0.970942,-0.239316,1
2019,31,66,Nainital,Uttarakhand,29.29478295,79.41548094,492,0.0,0,643.0,3.0,,323.0,303.34000000000003,0.4806696712,22.0,2060872,497.85,-0.568065,-0.822984,1
2017,41,67,Udham Singh Nagar,Uttarakhand,29.0480988,79.43131332,9,0.0,0,,,,,298.8566666,0.01370921104,35.0,2046846,743.67,-0.970942,0.239316,0
2011,36,68,Hardwar,Uttarakhand,29.91235135,78.00871782,10,0.0,0,,,,,300.54400000000004,0.2491719523,,1286212,537.83,-0.935016,-0.354605,1
2012,41,68,Hardwar,Uttarakhand,29.91235135,78.00871782,126,1.0,0,10.0,,,10.0,302.14,0.02495645839,30.0,1286212,537.83,-0.970942,0.239316,0
2013,37,68,Hardwar,Uttarakhand,29.91235135,78.00871782,50,1.0,0,126.0,10.0,,68.0,298.908,0.4037716843,29.0,1286212,537.83,-0.970942,-0.239316,1
2021,41,68,Hardwar,Uttarakhand,29.91235135,78.00871782,172,0.0,1,50.0,126.0,10.0,62.0,302.0233334,6.86e-05,,1286212,537.83,-0.970942,0.239316,0
2019,42,70,Ambala,Haryana,30.3843674,76.770421,60,2.0,0,,,,,301.8533334,0.00961377013,12.0,1532022,1009.94,-0.935016,0.354605,0
2010,29,86,Gurgaon,Haryana,28.42826235,77.00270015,586,12.0,1,,,,,310.42,0.1226261304,,533577,429.92,-0.354605,-0.935016,1
2011,28,86,Gurgaon,Haryana,28.42826235,77.00270015,5,2.0,0,586.0,,,586.0,307.66,0.4909773682,7.0,533577,429.92,-0.239316,-0.970942,1
2021,35,87,Mewat,Haryana,28.09734515,77.05085582,19,0.0,0,,,,,299.94,0.5809280116,12.0,4541738,3086.78,-0.885456,-0.464723,1
2011,41,88,Faridabad,Haryana,28.4031478,77.3105561,119,2.0,0,,,,,308.5766666,0.0117964173,6.0,355658,421.92,-0.970942,0.239316,0
2013,28,94,New Delhi,Delhi,28.6138954,77.2090057,6979,10.0,0,,,,,308.8066666,0.5165098757,,1305264,33815.13,-0.239316,-0.970942,1
2015,1,94,New Delhi,Delhi,28.6138954,77.2090057,1255,4.0,0,6979.0,,,6979.0,289.75333340000003,0.0003135274763,4.0,1305264,33815.13,0.120537,0.992709,0
2015,27,94,New Delhi,Delhi,28.6138954,77.2090057,72136,166.0,1,1255.0,6979.0,,4117.0,308.545,0.5967921772,5.0,1305264,33815.13,-0.120537,-0.992709,1
2017,38,94,New Delhi,Delhi,28.4851694,77.1963652,22,0.0,0,72136.0,1255.0,6979.0,26790.0,307.648,0.001552962315,9.0,1305264,33815.13,-0.992709,-0.120537,1
2018,32,94,New Delhi,Delhi,28.78722785,77.09809033,48,0.0,0,22.0,72136.0,1255.0,20098.0,306.72,0.3807391615,8.0,1305264,33815.13,-0.663123,-0.748511,1
2019,43,94,New Delhi,Delhi,28.4851694,77.1963652,12,0.0,0,48.0,22.0,72136.0,18365.25,307.704,0.05319440215,6.0,1305264,33815.13,-0.885456,0.464723,0
2018,41,99,Ganganagar,Rajasthan,29.9049489,73.87929341,126,4.0,0,,,,,305.8666666,0.04742286749,7.0,356646,32.98,-0.970942,0.239316,0
2018,43,99,Ganganagar,Rajasthan,29.9270556,73.8761519,190,5.0,1,126.0,,,126.0,306.5,0.001742356455,,356646,32.98,-0.885456,0.464723,0
2016,40,100,Hanumangarh,Rajasthan,29.5760254,74.3342203,130,0.0,0,,,,,306.825,0.03387866188,13.0,482459,48.15,-0.992709,0.120537,0
2018,41,101,Bikaner,Rajasthan,28.0159286,73.3171367,9,0.0,0,,,,,317.8066666,7.49e-05,5.0,241059,7.87,-0.970942,0.239316,0
2015,34,104,Alwar,Rajasthan,27.5,76.5,55,1.0,0,,,,,302.87,0.3633527266,19.0,2752076,330.01,-0.822984,-0.568065,1
2016,16,104,Alwar,Rajasthan,27.5,76.5,35,0.0,0,55.0,,,55.0,317.11,3.63e-05,,2752076,330.01,0.935016,-0.354605,0
2016,34,104,Alwar,Rajasthan,27.5,76.5,115,0.0,1,35.0,55.0,,45.0,299.38,0.4360500959,13.0,2752076,330.01,-0.822984,-0.568065,1
2019,43,104,Alwar,Rajasthan,27.5,76.5,37,0.0,0,115.0,35.0,55.0,68.33,304.704,0.01078684374,8.0,2752076,330.01,-0.885456,0.464723,0
2019,44,104,Alwar,Rajasthan,27.5,76.5,60,0.0,0,37.0,115.0,35.0,60.5,305.435,3e-05,,2752076,330.01,-0.822984,0.568065,0
2011,41,105,Bharatpur,Rajasthan,27.26521245,77.36912555,17,0.0,0,,,,,312.53000000000003,0.0006525899866,5.0,102907,20.3,-0.970942,0.239316,0
2016,15,105,Bharatpur,Rajasthan,27.26521245,77.36912555,64,0.0,1,17.0,,,17.0,317.19333340000003,6.65e-05,3.0,102907,20.3,0.970942,-0.239316,0
2010,36,106,Dhaulpur,Rajasthan,26.7010642,77.896749,15,0.0,1,,,,,302.58,0.9064866299,10.0,1285658,423.85,-0.935016,-0.354605,1
2010,45,106,Dhaulpur,Rajasthan,26.7010642,77.896749,5,0.0,0,15.0,,,15.0,305.2966666,0.0001038365434,,1285658,423.85,-0.748511,0.663123,0
2015,41,108,Sawai Madhopur,Rajasthan,26.22914115,76.30453277,8,0.0,0,,,,,315.0333334,3.84e-05,7.0,185316,36.63,-0.970942,0.239316,0
2016,38,112,Nagaur,Rajasthan,27.0607859,74.17667538,9,0.0,0,,,,,310.9566666,5.28e-05,10.0,2634246,147.62,-0.992709,-0.120537,1
2017,40,112,Nagaur,Rajasthan,27.0607859,74.17667538,30,0.0,1,9.0,,,9.0,319.6533334,4.4e-05,5.0,2634246,147.62,-0.992709,0.120537,0
2016,14,115,Barmer,Rajasthan,25.5819034,71.61966243,40,0.0,0,,,,,317.0966666,0.0002168356472,2.0,746728,25.7,0.992709,-0.120537,0
2016,14,119,Ajmer,Rajasthan,26.4691,74.639,210,0.0,0,,,,,313.824,0.0001033584209,,5451633,634.11,0.992709,-0.120537,0
2012,26,120,Tonk,Rajasthan,26.12214725,75.66375374,32,0.0,1,,,,,313.97200000000004,2.22e-05,2.0,219786,30.13,-0.0,-1.0,1
2014,18,120,Tonk,Rajasthan,26.12214725,75.66375374,24,0.0,0,32.0,,,32.0,320.3833334,0.001898254077,3.0,219786,30.13,0.822984,-0.568065,0
2009,41,125,Banswara,Rajasthan,26.3843347,75.6883764,4,1.0,0,,,,,305.31,0.1752200023,5.0,2981579,654.73,-0.970942,0.239316,0
2012,39,127,Kota,Rajasthan,25.1737019,75.8574194,2103,2.0,1,,,,,309.1366666,0.00108179291,,803532,145.07,-1.0,-0.0,1
2015,34,127,Kota,Rajasthan,25.1737019,75.8574194,65,0.0,0,2103.0,,,2103.0,301.8,0.7833807502,13.0,803532,145.07,-0.822984,-0.568065,1
2016,35,127,Kota,Rajasthan,25.1737019,75.8574194,8,1.0,0,65.0,2103.0,,1084.0,301.7266666,0.6350601277,13.0,803532,145.07,-0.885456,-0.464723,1
2015,20,128,Baran,Rajasthan,24.91765715,76.69627663,202,1.0,1,,,,,322.0133334,0.004020620418,4.0,2456855,358.88,0.663123,-0.748511,0
2015,33,128,Baran,Rajasthan,24.91765715,76.69627663,32,0.0,0,202.0,,,202.0,299.98,1.037230616,7.0,2456855,358.88,-0.748511,-0.663123,1
2016,35,132,Saharanpur,Uttar Pradesh,29.9880774,77.50812995,14,0.0,0,,,,,303.39,0.9422240641,23.0,4562702,1222.52,-0.885456,-0.464723,1
2016,36,132,Saharanpur,Uttar Pradesh,29.9880774,77.50812995,44,0.0,1,14.0,,,14.0,300.46,0.03905808568,19.0,4562702,1222.52,-0.935016,-0.354605,1
2019,40,132,Saharanpur,Uttar Pradesh,29.9880774,77.50812995,21,0.0,0,44.0,14.0,,29.0,300.49,0.5449565275,19.0,4562702,1222.52,-0.992709,0.120537,0
2021,35,132,Saharanpur,Uttar Pradesh,29.9880774,77.50812995,5,0.0,0,21.0,44.0,14.0,26.33,299.995,0.433826222,17.0,4562702,1222.52,-0.885456,-0.464723,1
2019,39,133,Muzaffarnagar,Uttar Pradesh,29.44800635,77.74068503,8,0.0,0,,,,,301.356,0.5270895123,20.0,2698762,664.5,-1.0,-0.0,1
2021,35,133,Muzaffarnagar,Uttar Pradesh,29.44800635,77.74068503,140,0.0,1,8.0,,,8.0,298.66,0.0667314591,13.0,2698762,664.5,-0.885456,-0.464723,1
2021,35,140,Ghaziabad,Uttar Pradesh,28.6711527,77.4120356,388,0.0,0,,,,,299.81333340000003,0.06308053572,14.0,1937624,978.08,-0.885456,-0.464723,1
2015,34,141,Gautam Buddha Nagar,Uttar Pradesh,28.6292302,77.38416795,48,0.0,0,,,,,300.04,0.4748045819,12.0,3733234,2643.82,-0.822984,-0.568065,1
2021,33,145,Mathura,Uttar Pradesh,27.633333,77.583333,182,6.0,0,,,,,306.056,0.1655406454,,3456022,1028.38,-0.748511,-0.663123,1
2013,41,146,Agra,Uttar Pradesh,27.1752554,78.0098161,14,0.0,0,,,,,302.5066666,0.09357224264,8.0,3087394,765.87,-0.970942,0.239316,0
2015,39,146,Agra,Uttar Pradesh,27.1752554,78.0098161,45,0.0,1,14.0,,,14.0,306.40000000000003,0.3932036085,,3087394,765.87,-1.0,-0.0,1
2021,36,146,Agra,Uttar Pradesh,27.1752554,78.0098161,43,1.0,0,45.0,14.0,,29.5,301.05333340000004,0.2492950753,8.0,3087394,765.87,-0.935016,-0.354605,1
2021,35,147,Firozabad,Uttar Pradesh,27.17736635,78.38991198,5754,5.0,0,,,,,304.5,0.7518674339,10.0,1924066,800.19,-0.885456,-0.464723,1
2016,37,148,Mainpuri,Manipur,24.8314984,93.91257672,42,1.0,1,,,,,299.49333340000004,0.4352542168,33.0,1483558,549.45,-0.970942,-0.239316,1
2021,35,148,Mainpuri,Uttar Pradesh,27.2098219,79.04813701,32,0.0,0,42.0,,,42.0,303.41,0.2972599919,11.0,1483558,549.45,-0.885456,-0.464723,1
2010,36,149,Budaun,Uttar Pradesh,28.06831165,79.04607312,7,1.0,0,,,,,299.74,0.9623278501,8.0,747873,147.25,-0.935016,-0.354605,1
2013,26,149,Budaun,West Bengal,23.2495714,87.8681751,850,1.0,1,7.0,,,7.0,309.92,0.55611224,7.0,747873,147.25,-0.0,-1.0,1
2013,33,149,Budaun,West Bengal,23.2495714,87.8681751,122,0.0,0,850.0,7.0,,428.5,,0.7434617982,7.0,747873,147.25,-0.748511,-0.663123,1
2013,35,149,Budaun,West Bengal,23.2495714,87.8681751,17,0.0,0,122.0,850.0,7.0,326.33,304.42,1.349343749,,747873,147.25,-0.885456,-0.464723,1
2015,37,149,Budaun,West Bengal,23.2495714,87.8681751,72,0.0,0,17.0,122.0,850.0,249.0,304.3333334,0.0797010194,20.0,747873,147.25,-0.970942,-0.239316,1
2016,32,149,Budaun,Uttar Pradesh,28.116667,78.983333,34,0.0,0,72.0,17.0,122.0,265.25,302.165,0.3819234338,8.0,747873,147.25,-0.663123,-0.748511,1
2016,35,149,Budaun,Uttar Pradesh,28.116667,78.983333,18,0.0,0,34.0,72.0,17.0,61.25,302.12,0.5388081754,15.0,747873,147.25,-0.885456,-0.464723,1
2016,42,149,Budaun,Uttar Pradesh,28.06831165,79.04607312,29,0.0,0,18.0,34.0,72.0,35.25,305.74333340000004,2.78e-05,7.0,747873,147.25,-0.935016,0.354605,0
2015,34,150,Bareilly,Uttar Pradesh,28.416667,79.383333,64,0.0,0,,,,,302.57,0.8535924188,11.0,970196,256.38,-0.822984,-0.568065,1
2019,31,150,Bareilly,Uttar Pradesh,28.416667,79.383333,16,0.0,0,64.0,,,64.0,304.08,0.4327190655,9.0,970196,256.38,-0.568065,-0.822984,1
2021,38,150,Bareilly,Uttar Pradesh,28.416667,79.383333,158,5.0,1,16.0,64.0,,40.0,300.48400000000004,0.6523132363,19.0,970196,256.38,-0.992709,-0.120537,1
2015,39,155,Hardoi,Uttar Pradesh,27.33857665,80.09752646,75,1.0,0,,,,,302.56,0.0505803582,14.0,1799035,299.51,-1.0,-0.0,1
2016,28,155,Hardoi,Uttar Pradesh,27.33857665,80.09752646,933,0.0,1,75.0,,,75.0,307.7,0.7078000626,,1799035,299.51,-0.239316,-0.970942,1
2019,39,159,Farrukhabad,Uttar Pradesh,27.43719385,79.48912947,29,0.0,1,,,,,286.88,0.3975436355,6.0,316715,144.98,-1.0,-0.0,1
2019,44,159,Farrukhabad,Uttar Pradesh,27.43719385,79.48912947,12,0.0,0,29.0,,,29.0,304.156,7.3e-05,5.0,316715,144.98,-0.822984,0.568065,0
2021,25,159,Farrukhabad,Uttar Pradesh,27.43719385,79.48912947,7,0.0,0,12.0,29.0,,20.5,306.42,0.07073094221,,316715,144.98,0.120537,-0.992709,1
2021,35,160,Kannauj,Uttar Pradesh,26.9996974,79.68861213,20,0.0,0,,,,,303.46,0.1708038105,16.0,1850658,892.32,-0.885456,-0.464723,1
2021,36,160,Kannauj,Uttar Pradesh,26.9996974,79.68861213,125,0.0,1,20.0,,,20.0,301.6433333,0.19687095345,14.0,1850658,892.32,-0.935016,-0.354605,1
2018,42,162,Auraiya,Uttar Pradesh,26.65573395,79.51504701,103,3.0,0,,,,,304.74333340000004,0.0012251311,8.0,1685448,840.08,-0.935016,0.354605,0
2019,44,162,Auraiya,Uttar Pradesh,26.65573395,79.51504701,209,0.0,1,103.0,,,103.0,303.85,1.52e-05,8.0,1685448,840.08,-0.822984,0.568065,0
2021,39,162,Auraiya,Uttar Pradesh,26.65573395,79.51504701,34,0.0,0,209.0,103.0,,156.0,302.57,0.6104519708,17.0,1685448,840.08,-1.0,-0.0,1
2021,46,162,Auraiya,Uttar Pradesh,26.65573395,79.51504701,43,0.0,0,34.0,209.0,103.0,115.33,300.43333340000004,8e-05,6.0,1685448,840.08,-0.663123,0.748511,0
2012,39,164,Kanpur Nagar,Uttar Pradesh,26.4402119,80.26930513,742,0.0,0,,,,,302.716,0.05374530317,15.0,926790,322.15,-1.0,-0.0,1
2015,44,165,Jalaun,Uttar Pradesh,26.105546,79.42765265,68,0.0,1,,,,,309.89,0.01230069884,5.0,1675186,366.48,-0.822984,0.568065,0
2019,34,165,Jalaun,Uttar Pradesh,26.105546,79.42765265,5,0.0,0,68.0,,,68.0,302.43,0.7243944379,16.0,1675186,366.48,-0.822984,-0.568065,1
2019,42,165,Jalaun,Uttar Pradesh,26.105546,79.42765265,15,0.0,0,5.0,68.0,,36.5,305.3833334,0.001466828363,,1675186,366.48,-0.935016,0.354605,0
2021,35,165,Jalaun,Uttar Pradesh,26.105546,79.42765265,23,1.0,0,15.0,5.0,68.0,29.33,302.2,0.2619904802,13.0,1675186,366.48,-0.885456,-0.464723,1
2021,40,165,Jalaun,Uttar Pradesh,26.105546,79.42765265,7,0.0,0,23.0,15.0,5.0,27.75,303.08,0.1089528815,14.0,1675186,366.48,-0.992709,0.120537,0
2015,39,166,Jhansi,Uttar Pradesh,25.5301308,78.65242146,23,0.0,0,,,,,307.796,0.2583586554,,283977,56.03,-1.0,-0.0,1
2015,40,166,Jhansi,Uttar Pradesh,25.5301308,78.65242146,26,0.0,0,23.0,,,23.0,312.25333340000003,0.0009302723369,7.0,283977,56.03,-0.992709,0.120537,0
2021,35,166,Jhansi,Uttar Pradesh,25.5301308,78.65242146,40,0.0,1,26.0,23.0,,24.5,303.2266666,0.1756067177,13.0,283977,56.03,-0.885456,-0.464723,1
2015,37,172,Fatehpur,Uttar Pradesh,25.8435395,80.91800397,57,1.0,1,,,,,306.5933334,0.03982951385,13.0,201579,48.32,-0.970942,-0.239316,1
2015,39,172,Fatehpur,Uttar Pradesh,25.8435395,80.91800397,12,0.0,0,57.0,,,57.0,304.6066666,0.1536829495,12.0,201579,48.32,-1.0,-0.0,1
2019,40,172,Fatehpur,Uttar Pradesh,25.8435395,80.91800397,6,0.0,0,12.0,57.0,,34.5,295.27,0.9107555011,,201579,48.32,-0.992709,0.120537,0
2019,42,172,Fatehpur,Uttar Pradesh,25.8435395,80.91800397,6,0.0,0,6.0,12.0,57.0,25.0,303.6166666,0.007440193699,15.0,201579,48.32,-0.935016,0.354605,0
2019,47,172,Fatehpur,Uttar Pradesh,25.8435395,80.91800397,8,0.0,0,6.0,6.0,12.0,20.25,301.57,2.74e-05,5.0,201579,48.32,-0.568065,0.822984,0
2020,32,172,Fatehpur,Uttar Pradesh,25.8435395,80.91800397,18,1.0,0,8.0,6.0,6.0,8.0,304.04,0.5774017648,11.0,201579,48.32,-0.663123,-0.748511,1
2020,33,172,Fatehpur,Uttar Pradesh,25.8435395,80.91800397,7,0.0,0,18.0,8.0,6.0,9.5,304.04,0.6019255674,,201579,48.32,-0.748511,-0.663123,1
2020,41,172,Fatehpur,Uttar Pradesh,25.8435395,80.91800397,5,0.0,0,7.0,18.0,8.0,9.75,305.3533334,0.002515332414,,201579,48.32,-0.970942,0.239316,0
2015,31,194,Jaunpur,Uttar Pradesh,26.4609135,80.3217588,38,1.0,0,,,,,304.975,0.06079837925,8.0,873544,216.69,-0.568065,-0.822984,1
2021,38,195,Ghazipur,Uttar Pradesh,25.6035084,83.50745405,21,0.0,1,,,,,299.34000000000003,1.419633441,11.0,7171408,2118.71,-0.992709,-0.120537,1
2021,40,195,Ghazipur,Uttar Pradesh,25.6035084,83.50745405,12,0.0,0,21.0,,,21.0,300.27500000000003,1.210702805,16.0,7171408,2118.71,-0.992709,0.120537,0
2018,48,211,Purnia,Bihar,26.0,87.5,32,0.0,0,,,,,300.16,4.39e-05,6.0,2282058,697.52,-0.464723,0.885456,0
2012,32,216,Muzaffarpur,Bihar,26.1486581,85.34001282,123,0.0,1,,,,,292.47,0.6171291925,9.0,1564730,489.82,-0.663123,-0.748511,1
2017,32,216,Muzaffarpur,Bihar,26.1486581,85.34001282,21,0.0,0,123.0,,,123.0,302.76,1.236105823,7.0,1564730,489.82,-0.663123,-0.748511,1
2018,31,216,Muzaffarpur,Bihar,26.1486581,85.34001282,10,0.0,0,21.0,123.0,,72.0,,1.147583181,2.0,1564730,489.82,-0.568065,-0.822984,1
2018,41,216,Muzaffarpur,Bihar,26.1486581,85.34001282,47,0.0,0,10.0,21.0,123.0,51.33,303.596,0.06130183414,,1564730,489.82,-0.970942,0.239316,0
2019,26,216,Muzaffarpur,Bihar,26.1486581,85.34001282,67,0.0,0,47.0,10.0,21.0,50.25,303.40000000000003,0.3267005442,7.0,1564730,489.82,-0.0,-1.0,1
2019,30,216,Muzaffarpur,Bihar,26.1486581,85.34001282,10,0.0,0,67.0,47.0,10.0,36.25,305.92,0.4255024977,4.0,1564730,489.82,-0.464723,-0.885456,1
2018,42,218,Siwan,Bihar,26.1310043,84.39125661,134,0.0,1,,,,,300.888,0.1032550294,,4809542,2159.26,-0.935016,0.354605,0
2019,41,218,Siwan,Bihar,26.1310043,84.39125661,14,0.0,0,134.0,,,134.0,301.964,0.08369951375,17.0,4809542,2159.26,-0.970942,0.239316,0
2019,44,218,Siwan,Bihar,26.1310043,84.39125661,7,0.0,0,14.0,134.0,,74.0,297.62,0.009403333215,,4809542,2159.26,-0.822984,0.568065,0
2012,43,221,Samastipur,Bihar,25.7744929,85.86626813,52,0.0,1,,,,,303.8366666,0.000483998266,10.0,1630090,558.9,-0.885456,0.464723,0
2016,37,221,Samastipur,Bihar,25.7744929,85.86626813,9,0.0,0,52.0,,,52.0,300.14,1.347992824,,1630090,558.9,-0.970942,-0.239316,1
2017,36,221,Samastipur,Bihar,25.7744929,85.86626813,9,0.0,0,9.0,52.0,,30.5,302.176,0.1336311033,12.0,1630090,558.9,-0.935016,-0.354605,1
2015,45,223,Khagaria,Bihar,25.4916868,86.69910848,29,0.0,0,,,,,303.492,0.01839182669,7.0,1723979,1149.64,-0.748511,0.663123,0
2015,27,224,Bhagalpur,Bihar,25.2871758,87.13033088,521,1.0,0,,,,,,1.25256457,5.0,1515311,591.02,-0.120537,-0.992709,1
2010,37,226,Munger,Bihar,25.22081165,86.51720367,72,0.0,1,,,,,287.9666666,0.8112634733,,1074616,746.04,-0.970942,-0.239316,1
2019,37,226,Munger,Bihar,25.22081165,86.51720367,7,0.0,0,72.0,,,72.0,299.96,0.8664437514,,1074616,746.04,-0.970942,-0.239316,1
2016,34,229,Nalanda,Bihar,25.1364914,85.44365465,197,0.0,0,,,,,303.48,0.2737181449,,1745002,744.72,-0.822984,-0.568065,1
2012,37,230,Patna,Bihar,25.6093239,85.1235252,272,1.0,0,,,,,303.11,0.6517331016,,6636865,2064.27,-0.970942,-0.239316,1
2014,42,230,Patna,Bihar,25.6093239,85.1235252,11,1.0,0,272.0,,,272.0,300.856,0.3067623681,11.0,6636865,2064.27,-0.935016,0.354605,0
2015,27,230,Patna,Bihar,25.6093239,85.1235252,3825,2.0,1,11.0,272.0,,141.5,301.35,1.085549486,5.0,6636865,2064.27,-0.120537,-0.992709,1
