censuscode,iso_year,iso_week,ner_symptoms,ner_diseases,ner_pathogens,ner_travel,ner_total_notes
70,2017,1,7,2,0,2,3
70,2017,17,9,1,0,1,2
70,2018,16,9,4,0,3,5
70,2019,2,2,1,0,0,1
70,2019,12,10,4,0,1,5
70,2019,39,7,3,1,3,4
70,2019,40,8,3,1,1,4
70,2020,2,2,1,0,1,1
70,2020,31,6,5,2,4,5
70,2021,47,1,1,0,1,1
70,2022,26,7,4,1,2,3
86,2010,25,2,1,0,1,1
86,2010,26,8,3,0,1,4
86,2010,27,10,2,1,3,5
86,2010,28,9,3,1,2,4
86,2010,29,3,1,0,1,1
86,2010,44,2,1,0,1,1
86,2011,24,3,2,0,1,2
86,2011,25,3,1,1,1,1
86,2011,27,10,5,2,2,5
86,2011,28,1,2,0,1,1
86,2011,40,4,3,0,1,2
86,2015,18,9,5,2,5,5
86,2015,26,1,2,0,1,1
86,2015,45,3,0,1,0,1
86,2016,11,9,5,0,1,4
86,2016,14,2,1,0,0,1
86,2016,15,1,1,0,1,1
86,2016,35,5,3,1,1,3
86,2017,13,8,2,1,2,3
86,2017,18,1,1,0,0,1
86,2017,26,8,3,1,4,5
86,2018,18,9,3,0,1,4
86,2018,19,4,2,2,1,2
86,2019,28,10,5,0,2,5
86,2020,8,5,2,0,2,2
86,2020,41,6,4,0,3,4
86,2021,18,5,3,0,4,4
86,2021,22,10,4,2,2,5
87,2009,6,2,1,0,1,1
87,2009,18,2,1,0,1,1
87,2009,36,2,0,0,0,1
87,2012,25,1,1,0,0,1
87,2012,27,2,1,0,1,1
87,2012,35,5,2,1,1,2
87,2013,40,1,1,0,0,1
87,2013,41,2,1,0,0,1
87,2014,14,2,1,0,1,1
87,2015,28,8,6,0,3,5
87,2016,34,7,1,0,0,2
87,2016,39,7,3,1,3,4
87,2016,40,6,2,0,2,3
87,2017,24,1,2,0,1,1
87,2017,34,7,4,0,2,4
87,2018,12,5,1,1,1,2
87,2018,36,6,3,1,3,4
87,2019,4,1,1,0,0,1
87,2019,6,10,2,1,0,4
87,2020,24,6,4,0,4,4
87,2020,41,3,2,0,2,2
87,2021,1,8,5,3,3,5
87,2021,31,7,6,0,2,5
87,2021,32,4,2,0,1,3
87,2021,33,9,5,1,4,4
87,2021,41,3,2,1,1,2
87,2022,3,1,1,0,1,1
88,2009,20,2,1,0,1,1
88,2009,37,8,7,0,1,5
88,2010,34,3,3,1,3,3
88,2010,43,2,2,0,0,1
88,2011,12,1,1,0,1,1
88,2011,16,2,1,0,0,1
88,2011,38,2,2,0,1,1
88,2011,39,6,3,0,2,3
88,2011,40,5,4,0,3,4
88,2011,41,3,3,0,1,2
88,2015,34,1,3,1,2,2
88,2017,33,8,3,1,2,4
88,2018,39,6,1,0,3,3
88,2020,11,8,4,2,2,5
88,2020,17,7,4,1,3,5
88,2020,34,6,3,0,2,3
88,2020,37,7,1,0,0,2
88,2020,39,5,2,2,2,2
88,2021,12,5,1,0,2,3
88,2021,14,2,1,0,0,1
94,2009,20,3,2,1,2,2
94,2009,31,5,3,0,2,2
94,2010,9,6,2,1,2,3
94,2010,23,3,2,2,1,3
94,2011,29,5,1,0,2,2
94,2012,14,7,4,1,2,5
94,2012,30,11,2,1,2,4
94,2013,19,2,1,0,0,1
94,2013,23,1,1,0,0,1
94,2013,24,2,1,0,0,1
94,2013,26,1,2,0,0,1
94,2013,27,2,1,0,1,1
94,2013,28,2,1,0,0,2
94,2013,40,3,3,0,1,2
94,2013,43,2,1,0,0,1
94,2014,36,7,7,0,4,5
94,2014,43,1,1,0,0,1
94,2014,49,1,1,0,1,1
94,2014,50,2,1,0,0,1
94,2014,51,1,1,0,1,1
94,2015,23,8,3,1,3,3
94,2015,25,6,1,0,0,2
94,2015,26,3,1,0,0,1
94,2015,27,10,2,1,1,4
94,2016,32,6,1,0,1,3
94,2017,33,1,1,0,1,1
94,2017,34,2,2,0,1,1
94,2017,35,5,3,2,1,2
94,2017,36,3,1,1,0,1
94,2017,37,5,4,0,3,4
94,2018,29,11,3,2,4,5
94,2018,30,4,2,0,0,2
94,2018,31,8,4,0,3,4
94,2018,32,7,3,1,3,4
94,2018,49,2,1,0,0,1
94,2019,29,6,3,0,3,4
94,2019,37,4,0,0,1,1
94,2019,39,9,4,1,2,4
94,2019,40,11,4,0,3,4
94,2019,42,11,3,0,4,5
94,2020,10,7,5,1,3,4
94,2020,28,3,1,1,1,2
94,2020,46,6,1,1,2,3
94,2021,27,7,2,0,2,3
94,2021,41,6,2,1,1,3
94,2022,8,4,3,0,2,3
99,2009,50,2,1,0,0,1
99,2010,9,4,4,0,1,3
99,2012,42,5,4,0,3,3
99,2013,34,6,5,0,3,4
99,2014,2,3,1,0,1,1
99,2015,36,10,5,1,4,5
99,2015,49,2,1,0,0,1
99,2016,42,1,1,0,1,1
99,2017,7,9,3,0,4,5
99,2017,26,11,5,2,4,5
99,2017,42,4,2,0,1,2
99,2018,37,2,0,0,0,1
99,2018,38,6,3,0,2,3
99,2018,39,3,0,0,1,1
99,2018,43,6,3,0,2,3
99,2018,49,9,4,1,4,4
99,2020,1,1,1,0,1,1
99,2020,34,2,2,0,1,1
99,2021,33,9,7,1,3,5
99,2021,44,1,1,0,1,1
99,2022,24,4,2,0,2,2
99,2022,49,2,1,0,1,1
100,2009,37,4,1,0,0,2
100,2009,39,2,1,0,1,1
100,2009,46,6,1,0,1,3
100,2010,6,2,1,0,1,1
100,2010,14,2,2,1,1,2
100,2012,17,2,1,0,1,1
100,2014,28,1,1,0,1,1
100,2014,37,2,2,0,0,1
100,2015,44,1,2,0,0,1
100,2016,9,5,3,0,2,3
100,2016,36,7,8,0,4,5
100,2016,38,1,1,1,0,1
100,2016,39,15,3,0,2,5
100,2016,40,6,3,0,2,3
100,2016,44,2,1,0,0,1
100,2017,2,2,1,0,1,1
100,2017,28,10,4,1,3,5
100,2017,35,7,3,0,4,4
100,2018,8,2,2,1,1,1
100,2018,17,3,0,0,0,1
100,2018,37,4,3,0,2,3
100,2019,7,6,2,0,0,3
100,2019,27,10,3,1,2,4
100,2020,19,8,3,0,3,4
100,2020,21,2,1,0,0,1
100,2020,31,6,1,0,1,2
100,2021,10,4,2,2,1,2
101,2009,25,6,4,0,3,3
101,2012,29,5,5,0,2,2
101,2012,50,1,1,0,1,1
101,2013,34,5,2,0,1,2
101,2015,25,2,1,0,0,1
101,2015,37,4,3,0,1,3
101,2015,39,8,2,2,3,4
101,2016,20,2,1,0,0,1
101,2018,13,1,1,0,1,1
101,2018,38,4,1,0,0,1
101,2018,39,2,1,0,0,1
101,2018,40,2,1,0,1,1
101,2019,39,2,2,0,1,1
101,2020,51,2,1,0,0,1
101,2022,6,4,1,1,1,2
101,2022,8,2,2,0,0,1
101,2022,10,6,4,2,3,3
101,2022,37,2,2,0,2,2
104,2009,18,7,2,1,3,4
104,2009,26,8,4,0,4,4
104,2010,1,1,1,0,0,1
104,2010,32,5,1,1,0,2
104,2011,14,3,2,0,2,2
104,2011,41,1,1,0,0,1
104,2014,23,1,1,0,0,1
104,2014,39,2,2,0,1,1
104,2015,16,9,2,1,2,4
104,2015,30,7,2,0,2,3
104,2015,31,8,2,4,4,4
104,2015,33,10,5,1,3,5
104,2015,34,7,2,0,0,3
104,2016,14,8,3,2,3,4
104,2016,16,5,2,2,2,3
104,2016,30,9,3,0,4,5
104,2016,31,2,1,0,1,1
104,2016,33,8,4,2,3,4
104,2016,34,1,1,0,1,1
104,2017,19,9,5,0,4,5
104,2017,27,6,2,1,4,4
104,2018,38,12,4,1,3,5
104,2019,18,1,2,0,1,1
104,2019,39,2,3,0,1,2
104,2019,42,7,3,1,1,4
104,2019,44,5,3,0,2,2
104,2019,51,2,1,0,1,1
104,2021,11,7,1,0,2,4
104,2021,23,8,4,1,2,4
104,2021,26,2,1,0,1,1
104,2021,33,9,5,3,3,5
105,2010,17,0,0,0,0,1
105,2010,40,3,3,0,2,2
105,2011,37,5,4,0,2,2
105,2011,39,1,1,0,1,1
105,2011,40,1,3,0,1,1
105,2011,41,3,1,1,1,2
105,2013,52,1,1,0,1,1
105,2014,33,6,5,0,3,4
105,2015,30,2,2,0,1,2
105,2015,31,3,1,0,0,1
105,2015,40,6,3,0,2,3
105,2016,8,1,1,0,0,1
105,2016,13,2,1,1,0,1
105,2016,15,11,4,1,3,5
105,2016,28,3,4,0,3,3
105,2017,4,1,1,0,0,1
105,2017,42,7,5,0,4,4
105,2018,20,8,5,0,3,4
105,2019,29,1,2,0,2,2
105,2019,50,1,1,0,0,1
105,2020,31,8,6,1,3,4
105,2020,34,7,4,1,2,5
105,2020,51,2,1,0,0,1
105,2021,10,2,0,0,0,1
105,2021,39,5,2,0,1,2
105,2022,28,4,2,0,0,2
106,2009,35,9,5,1,4,5
106,2009,38,8,6,0,4,5
106,2009,51,10,4,1,4,5
106,2009,52,2,1,0,0,1
106,2010,12,1,1,0,0,1
106,2010,32,7,5,2,4,5
106,2010,33,2,1,2,1,2
106,2010,34,3,2,0,1,2
106,2010,35,1,1,0,0,1
106,2010,41,3,1,0,2,2
106,2010,42,5,3,1,2,3
106,2010,43,2,1,0,1,1
106,2010,45,1,1,0,1,1
106,2011,16,1,1,0,1,1
106,2012,4,2,1,0,1,1
106,2014,25,2,2,0,1,1
106,2014,29,5,2,0,0,2
106,2015,36,2,2,0,1,2
106,2015,46,2,1,0,0,1
106,2016,29,4,2,0,2,2
106,2017,26,8,2,1,1,3
106,2017,27,4,2,0,1,2
106,2018,11,3,0,0,0,1
106,2018,18,11,3,0,2,4
106,2019,8,2,3,1,1,2
106,2019,20,6,2,1,2,3
106,2020,12,8,4,0,2,4
106,2020,18,8,5,0,3,4
106,2020,33,2,1,1,0,1
106,2021,31,8,1,0,2,3
106,2021,35,6,1,0,1,2
106,2022,31,3,3,0,1,3
106,2022,39,7,4,0,2,4
108,2009,9,8,2,2,4,4
108,2010,10,1,1,0,1,1
108,2010,15,2,1,0,0,1
108,2011,7,2,1,0,1,1
108,2012,25,6,4,0,1,3
108,2012,30,8,7,0,5,5
108,2015,37,3,3,0,2,2
108,2015,38,4,4,0,2,2
108,2015,40,1,2,0,1,1
108,2016,4,2,3,0,1,1
108,2017,22,3,1,1,2,2
108,2018,15,9,1,0,2,4
108,2019,18,1,1,0,1,1
108,2020,5,2,1,0,1,1
108,2020,14,1,1,0,0,1
108,2021,18,1,1,0,0,1
108,2021,33,1,5,0,2,2
108,2022,30,8,5,1,3,5
108,2022,37,4,2,2,1,2
112,2009,22,1,1,1,0,1
112,2009,46,2,1,0,1,1
112,2010,41,2,1,0,1,1
112,2011,34,3,0,0,1,1
112,2012,42,4,4,0,2,4
112,2013,6,1,1,0,0,1
112,2014,14,1,2,0,1,1
112,2015,11,6,4,0,3,4
112,2015,31,8,5,1,2,5
112,2015,35,2,1,0,1,1
112,2016,13,11,2,1,3,5
112,2016,34,2,1,0,1,1
112,2016,36,3,3,0,3,3
112,2016,38,2,1,0,1,1
112,2016,39,13,6,1,2,5
112,2016,45,2,2,0,0,1
112,2017,3,2,1,0,1,1
112,2017,37,4,5,2,2,3
112,2017,38,3,4,0,2,3
112,2017,39,7,5,0,2,5
112,2017,40,4,4,1,2,4
112,2018,31,2,1,0,0,1
112,2018,33,14,2,0,2,5
112,2019,48,1,1,0,1,1
112,2019,52,1,1,0,1,1
112,2021,52,2,0,0,0,1
112,2022,16,1,0,0,1,1
115,2009,7,1,2,0,1,1
115,2009,27,1,2,0,1,1
115,2009,46,1,1,0,0,1
115,2010,14,2,1,0,0,1
115,2010,32,11,3,0,1,4
115,2012,36,1,1,0,0,1
115,2013,33,5,3,0,1,3
115,2016,11,1,2,0,1,1
115,2016,13,2,1,0,0,1
115,2016,14,3,1,0,1,1
115,2017,8,2,1,0,0,1
115,2018,42,6,4,0,3,3
115,2019,12,1,1,0,0,1
115,2020,41,1,1,0,0,1
115,2021,13,2,1,0,1,1
115,2021,14,2,1,0,1,1
115,2021,15,1,1,0,1,1
115,2021,34,12,6,0,4,5
115,2022,35,2,1,0,1,1
119,2009,12,5,2,1,2,2
119,2009,17,2,1,0,1,1
119,2010,7,11,3,1,3,4
119,2010,32,10,3,0,3,5
119,2012,8,2,1,0,0,1
119,2012,27,6,3,0,2,3
119,2012,36,2,2,0,1,1
119,2014,25,9,5,0,3,5
119,2015,14,5,1,1,1,3
119,2016,10,9,5,0,3,4
119,2016,14,4,3,1,2,2
119,2016,34,3,3,1,2,2
119,2017,39,2,1,0,0,1
119,2018,18,6,5,1,4,4
119,2019,21,12,5,1,3,5
119,2019,50,8,1,1,1,3
119,2020,1,1,1,0,0,1
119,2020,43,10,3,1,3,4
119,2021,34,6,3,0,3,3
119,2022,15,1,1,0,0,1
119,2022,43,2,1,0,1,1
